Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled
2025-09-05 00:08:45,2025-09-06 02:52:14,UTC+05:30,2025-09-05 17:45:02,2025-09-05 18:00:02,15,Walking,4.5,52.0,125,104,37,0,0,0,0,false
2025-09-05 00:08:45,2025-09-06 02:52:14,UTC+05:30,2025-09-05 13:10:54,2025-09-05 13:49:53,38,Walking,7.3,258.0,144,120,74,16,0,0,0,false
2025-09-04 00:14:50,2025-09-05 00:08:45,UTC+05:30,2025-09-04 21:05:42,2025-09-04 21:25:42,20,Walking,4.3,52.0,117,93,20,0,0,0,0,false
2025-09-04 00:14:50,2025-09-05 00:08:45,UTC+05:30,2025-09-04 19:49:18,2025-09-04 19:59:51,10,Weightlifting,4.9,63.0,163,116,30,19,12,0,0,false
2025-09-03 02:06:41,2025-09-04 00:14:50,UTC+05:30,2025-09-03 18:33:00,2025-09-03 18:51:47,18,Walking,5.1,104.0,142,116,89,1,0,0,0,false
2025-09-03 02:06:41,2025-09-04 00:14:50,UTC+05:30,2025-09-03 18:01:30,2025-09-03 18:17:59,16,Hiking,4.6,62.0,137,107,49,0,0,0,0,false
2025-09-01 23:47:03,2025-09-03 02:06:41,UTC+05:30,2025-09-02 22:24:00,2025-09-02 23:36:27,72,Walking,6.9,281.0,155,107,50,2,0,0,0,false
2025-09-01 02:37:25,2025-09-01 23:47:03,UTC+05:30,2025-09-01 20:40:30,2025-09-01 21:15:13,34,Walking,5.8,170.0,140,113,81,0,0,0,0,false
2025-09-01 02:37:25,2025-09-01 23:47:03,UTC+05:30,2025-09-01 18:25:30,2025-09-01 18:47:10,21,Walking,4.8,78.0,125,107,47,0,0,0,0,false
2025-09-01 02:37:25,2025-09-01 23:47:03,UTC+05:30,2025-09-01 13:31:30,2025-09-01 13:50:52,19,Walking,5.0,97.0,139,114,81,0,0,0,0,false
2025-08-29 00:41:24,2025-08-29 22:44:06,UTC+05:30,2025-08-29 20:59:47,2025-08-29 22:09:15,69,Running,7.4,333.0,139,114,87,0,0,0,0,false
2025-08-25 20:13:24,2025-08-27 00:07:13,UTC+05:30,2025-08-26 20:52:30,2025-08-26 21:17:09,24,Walking,5.3,108.0,165,110,44,3,3,0,0,false
2025-08-25 20:13:24,2025-08-27 00:07:13,UTC+05:30,2025-08-26 18:32:23,2025-08-26 18:42:23,10,Walking,4.4,39.0,130,110,66,0,0,0,0,false
